Trope Name,Trope Description,Text Length
Surprisingly Realistic Outcome,Float like a butterfly sting like a bee Try to dodge bullets and youll end up like meIt doesnt seem possible but I guess TV has betrayed me— Bart Simpson The Simpsons Simpsons Roasting on an Open FireSay youre watching your favorite action movie Bob is in a car chase and the bad guys are right behind him He sees a sharp turn up ahead next to a brick wall Thinking ahead Bob decides to drift at the last second so he can cause his pursuers to crash and escape However Bob is not an experienced drifter so instead of drifting the car flips barrel rolls and smashes into the wall letting the bad guys catch up with himThis is what is probably going through your mind Huh Wait What Did that just happen I mean that is how it would happen in Real Life but A Surprisingly Realistic Outcome happens when a work subverts narrative conventions by deriving an outcome from realistic principles temporarily removing otherwise fictional logic We can often anticipate results based on the storys narrative pattern this trope subverts those expectations by momentarily employing more realism than its normThis trope isnt merely a Plot Twist To minimize stress on editors make sure your example is Surprising Realistic and an Outcome Surprising A moment needs to be objectively surprising to qualify meaning a Surprisingly Realistic Outcome requires an Expected Unrealistic Outcome for its genre We expect unexpected events in fiction as stories would be boring if everything always happened according to plan Unlike a regular Plot Twist a surprisingly realistic moment deliberately guides audience expectations in one direction only to suddenly avert the Artistic License or Rule of X necessary for that outcome In doing so it highlights how unrealistic it was for the viewer to expect that in the first place Also character reactions cannot qualify under this trope as real peoples emotional and psychological responses to a situation vary wildly We cant say any response is necessarily unrealistic in fictional scenarios and not even the characters author can know such things Realistic The outcome must be possible in Real Life An example with even the slightest bit of Applied Phlebotinum isnt this trope Real people cant actualize Functional Magic Fantasy Science Fiction and the like so its impossible to tell how things would really turn out when such elements exist Powers possessing a Logical Weakness or a subversion of Required Secondary Powers should go under those respective tropes Outcome This conventiondefying realistic consequence has to actually happen Simply pointing out how something wouldnt work the way it does in fiction doesnt count Also to curb potential misuse check if listing your example as a subversion of a specific trope would work better If it does theres no point in putting it here Also it should happen during the story as a consequence of an action or event Innate traits or features of a character or setting that have been there since before the story dont count even if theres a logical reason for themA Surprisingly Realistic Outcome differs from Deconstruction in several ways Expectations Once weve identified a work as a deconstruction we should be able to anticipate how it handles certain tropes differing from how this trope must be surprising While a deconstruction will sometimes lead with a Surprisingly Realistic Outcome the consequences down the line wont surprise us anymore Timing Because a Surprisingly Realistic Outcome is a subversion and is often jarring its supposed to be a momentary trope Deconstructions typically weave themselves into the fabric of a story creating something lasting for at least a significant portion of the work Realism A Surprisingly Realistic Outcome subverts expectations by refusing to have things work how one would expect from fiction meaning it excludes all Applied Phlebotinum A deconstruction discusses or plays with assumptions underpinning a trope or theme Deconstructions dont necessarily involve objective realism as they can include examining a Logical Weakness or a subversion of Required Secondary Powers While we can deconstruct the workings of Applied Phlebotinum we cant make it realisticVideo game examples overlap with Unexpectedly Realistic Gameplay AntiClimax might run in parallel but doesnt require realism Fridge Logic is when the realistic outcome exists only in the audiences mind Extraordinary World Ordinary Problems is about mundane problems still existing in fictional settings Puff of Logic is when an unrealistic outcome abruptly becomes realistic after someone mentions the unrealism An Unbuilt Trope deals with situations where the Expected Unrealistic Outcome didnt exist at the time and veers more towards this tropePlease do not add any reallife examples as this trope is about differing expectations between reality and fiction For cases of fiction making you expect the wrong things in real life see Reality Is Unrealistic and Television Is Trying to Kill Us,4971
Misspelling Out Loud,All I need to know how to spell is Kill KYYYL— Houk mook Star Wars The Old RepublicSomeone has to spell a word out loud for the sake of clarity for emphasis for Censorship by Spelling or because theyre in a Spelling Bee and they make an elementary spelling mistake or even spell a different word entirely The reason can range from being illiterate to dyslexic all the way to being able to read just fine but having never seen the word in written form If its the latter this usually reflects negatively on the characters attentiveness and if its either of the former it reflects negatively on the characters intelligence In the case of spelling bees though sometimes the child actually knows the correct spelling and would not normally spell such a word incorrectly but is intentionally losing the bee because theyre sick of their parents putting such immense undue pressure on them at their ageIn English these common spelling mistakes include inserting a spurious silent E changing a hard S to a Z or almost any of the mangled spellings whose deliberate use is described under Xtreme Kool Letterz,1097
Subverted Trope,In other words the story does not trick the player it is the player that tricks himself— Hideo KojimaBasically this is playing bait and switch with a trope A work makes you think a trope is going to happen but it doesntBut how could people know a trope is going to happen Well tropes live in the minds of the audience As such sufficiently Trope Savvy audience members can predict a familiar trope coming based on the hints dropped by the writer So when the writer decides to build on this expectation only to reveal that the expected trope was a Red Herring while an entirely different situation results you have a Subverted TropePhrased another way the work is ultimately revealed not to be using the trope at all but in the meantime was played up to look like it wasThis is one method of leveraging a trope to give a story texture It certainly isnt the only wayA subversion has two mandatory segments First the expectation is set up that something we have seen plenty of times before is coming then that setup is paid off with something else entirely The setup is a trope the something else is the subversionTo put this another way a trope of the form X are often Y is not subverted by every X you can think of that isnt Y If someone is murdered and theres a butler around but he didnt do it thats not automatically a subversion of The Butler Did It thats an aversion But if the writer makes it look like a typical example of The Butler Did It then reveals he didnt thats a subversionA full comparison could go something like this A car chase is in progress at reckless speeds The camera cuts to some workers carrying a Sheet of Glass then cuts back to the panicked driver headed towards the workers It seems pretty obvious that the driver is going to smash the glass sheet into a million fragments or is it If the car drives through the pane of glass its played straight If the car drives through the pane of glass and the workers are heard complaining about why cars that are being chased can avoid nearly everything but a pane of glass its lampshaded If the car drives through the pane of glass and the driver stops to explain the reason why he crashed into it its justified If the car misses the pane of glass its subverted If something else causes the glass to be broken before the car can even make it to where the glass pane broke its also subverted If the car misses the pane of glass but a second car breaks it instead its a double subversion If the pane of glass is broken before being hit by the car which then drives through a different pane of glass carried by a second pair of workers its also double subverted Another double subversion is if the car hits the glass and knocks it out of the workers hands without damage to the glass or car and the glass crumbles after it gets picked back up If the car comes down the road in a series of wide turns and it isnt clear if the car will hit the pane of glass if it ever makes it there its zigzagged If the car disappears from view and isnt seen again until after the sound of glass breaking its implied If the car stops before hitting the pane of glass and then takes a different route its defied If the car drives into the pane of glass and not only the glass shatters but also the car as well as the workers its exaggerated If the car is not doomed to hit the pane of glass but one of the workers sees the car coming and stops in the street such that the car drives into the pane of glass its invoked If the car drives through the glass and views are shown of damage sustained by the car either complicating the driveability of the vehicle andor making the car more identifiable to the chasers or the workers point out the direction of the car to the chasers as they drive by its deconstructed However if the chasing cars get flat tires driving over the glass shards strewn across the street or if the drivers stop to see to the workers injuries from the broken glass its reconstructed If the car hits the pane of glass and the chasing cars regain their lost trail from the scattered pieces of glass its exploited and also Played for Drama If the car drives into the pane of glass and the result is that the glass merely has a carshaped hole in it thats downplayed and also Played for Laughs but thats another matter Its also Impact Silhouette played straight If the car drives into the pane of glass but the glass is only slightly chipped then thats also downplayed and also played straight However if the car drives into the pane of glass and the result is that the glass merely has a carshaped hole in it but the pane of glass collapsed on itself its either played straight or a double subversion And also breaking a downplay If the car drives through the pane of glass backwards or in any other weird way that a car should not be driving in its parodied If the car drives through the pane of glass but its the car that shatters instead of the glass its inverted and a very shoddilybuilt car at that If the car hits the pane of glass and drives through unharmed because the car company paid to have their car in the film and wouldnt allow its use unless it was show undamaged its enforced If the workers are talking about the possibility of a car driving through the glass before the car chase reaches them its discussed If the cars occupants mention the number of car chases that lead to a pane of glass being carried across a street its conversed If the car drives into the pane of glass but the glass endures and car bounces back it is backfired If there is no pane of glass despite road signs saying glass factory or no car chase despite hearing engines roaring from the distance while the workers transport the glass through the road its avertedAdditionally note that a trope can be handled in different ways in different parts of a work its not uncommon for longrunning serial works to sometimes play with or subvert tropes that they initially played straightBear in mind that just as Tropes Are Tools subversions are not automatically good witty clever or originalPlaying with a Trope compares this with many other ways that a trope can be used,6118
Tree Buchet,Tree 1 Dwarf 0In animation seeing a tall skinny tree anywhere is a sure sign that someone is about to go flyingIn the world of cartoons any sufficiently tall flexible tree can be transformed into a trebuchet The formula is generally as follows Have the villain chase the hero through a forest tree farm or any other sufficiently wooded area In an attempt to escape the villain have the hero run up the tallest skinniest tree available Have the villain chase the hero up the tree The fairly fragile tree will begin to bend beneath the weight of both people trapped within it frequently doubling over The hero must now jump out of the tree We have a few seconds to register the look of terror on the villains face before the tree freed of the excess weight snaps back up Thwwwwpp The villain goes flyingA frequent variation is for a character to use a tree snare  a tree purposefully bent low with a trap tied to one end Usually the hunter will find himself either riding the tree out of town or thrown back and forth after they get caught in their own trapAnother variation is the villain choosing to catapult himself with a tree either to reach something higher or to jump over a wall The effect varies from catapulting directly into the ground to missing the target by one inchYet another variation is the hero using it to launch himself This works unless its too early in the story for successTree Buchets are named after trebuchets pronounced trehbyushay Note that the classic Tree Buchet is not an actual trebuchet trebuchets work using a lever with heavy counterweights Tree Buchets work because trees are apparently perfectly elastic The tree snare variant does work but only with very young softwood saplings Mature trees might still be skinny but just arent this flexible Most likely to appear in worlds where Bamboo Technology is prevalent Can be a result of Watch Out for That TreeCompare Catapult to Glory where this is done with an actual catapult Note that to some extent this has been deemed Busted by MythBusters,2028
What the Hell Hero,Except Fighternote Fighter Yay Hes a casualtynote Black Mage YayYou think I am a monster but youre no different from me Drake How many men have you killed How many just today— Zoran Lazarevic Uncharted 2 Among ThievesWhen characters InUniverse call out one or possibly more of the heroes for doing something clearly unheroic if not outright heinousOccasionally an author will drop some black into their otherwise flawlessly good guy hero and have others particularly The Heart and especially The McCoy notice This can add guilt and remorse to a character as they feel shame for their evil actions and legitimately have to fight to restore their name undo the harm or simply live with the guilt and shame of it In this case you can expect to hear some variation of Havent you done enough already More extremely it can be the first step towards AntiHerodom or a fullblown FaceHeel Turn A Redemption Quest is usually considered the most noble or morally good way to respond to thisThe opposite of ProtagonistCentered Morality contrast also Designated Hero and Hero Insurance See also What Is Evil and Not So Different Remark for when a villain is the one pointing this out or acting as though theres something to point out to mess with the hero A variation is when the villain will praise the hero which the hero will find profoundly humiliatingIf the player is given no choice in their decision due to Railroading or multiple choices they can make all end with terrible consequences and the player is then called out for their actions they are Blamed for Being RailroadedAlmost never applies to those Powers That Be who have an Omniscient Morality License although characters who Rage Against the Heavens might attempt it Likewise villains tend to be immune to this thanks to their Its All About Me attitude or at best Moral Myopia though a Heel Realisation might clue them in perhaps leading to a Villainous BSoD This trope doesnt really apply to villains who are just doing it For the Evulz A villain may also be in the receiving end from another villain that remembers that Even Evil Has Standards Those pesky Trickster Mentors may also find themselves on the receiving end of Rage Against the MentorSome video games offer dialogue trees or something similar that might allow your character to call someone out for their horrible behavior which can be immensely satisfying If your character is the one being called out its What the Hell Player My God What Have I Done may be a selfinflicted version and this is often associated with a Video Game Cruelty Punishment Can come right off the heels of a Sadistic Choice foisted on the player in a video game The hero may attempt to invoke I Did What I Had to Do as their justification though this does not always succeed Of course those who live in glass houses shouldnt throw stones and one should beware of their own Moral Myopia leading to The Complainer Is Always Wrong Results may vary against the Sociopathic Hero or The Unfettered beware you dont get a Shut Up Kirk or Hannibal Lecture in response Et Tu Brute may also counts as this when a hero does not make a full FaceHeel Turn but gets called out for nearly betraying their allies If its a child calling out a parent or vice versa its Calling the Old Man Out or Calling the Young Man Out Can overlap with The Reason You Suck Speech if a character points out a heros flaws in very long detail in the most brutal way possible Can also overlap with Cowardice Callout if the hero is being called out on shortcomings that are rooted in fear or a lack of wellplaced courage A character verbally chastising the hero may realize they were too hard on them if they feel uncomfortable in chewing out the hero The hero may lash out at the reproof if they Cant Take CriticismOf course the critics arent necessarily infallible themselves There may be times when those making the criticism may not be aware of extenuating factors for the heroes Sometimes those making a What The Hell Hero statement can get one in return an AntiHero may call The Hero out on being too inflexible to do what is necessary while the hero may respond that their critics methods are little better than those of the villainsImportant note This article is exclusively about scenes where the hero is called on their morally ambiguous or directly evil actions by characters in the story If the Designated Hero is a Jerkass or worse but no one calls them on it in the series then take your example to Designated Hero Goodintended mistakes fall under Nice Job Breaking It Hero Reviewers can call out this in their reviews but they themselves are not engaging in What the Hell Hero as they are not part of the series being criticized A skit still has to be based on events in the series not something they make up so they can do the criticizing themselves,4821
Rock Bottom,I dont believe in rock bottoms Ive had a lot of what I thought were rock bottoms only to discover another rockier bottom underneath— BoJack Horseman BoJack HorsemanAll kinds of tribulations have been visited upon Bob and  or his party Alice tries to cheer him up by remarking on how at least things cant possibly get any worse Right on cue something bad happens in their area In some extreme cases theyll even say how things could be worse right before it actually happensA form of Tempting Fate Tightly related to Retirony Often triggers Oh Crap and either You Just Had to Say It or some variant A Discredited Trope by now its frequently subverted or parodied these daysCue the Rain covers the specific variant where this comes in the form of a sudden downpour See also From Bad to Worse for when things in a series really truly go to hell and Darkest Hour for the actual noirony worst moment in the quest Also see Consolation Backfire and Humiliation Conga,958
Nobody Likes a Tattletale,Dewey Reese wiped his booger on my lunch bag Hal Dewey what have we taught you about snitching Dewey Only snitch when asked to snitch Hal Good boy— Malcolm in the MiddleEvery kid ever knows that adults cant be trusted to solve problems especially when youre dealing with The Bully who steals your lunch and shoves you into mud puddles at recess Nobody likes a bully but the problem is nobody likes a squealer either Someone may bring up the easy solution of telling an adult only to be swiftly shot down Even from a young age children are concerned about how they look in front of their classmates and the last thing a kid wants is a reputation as the teachers petclass stool pigeon wholl go squealing to the teacher at the slightest provocation A bully may exploit this trope by taunting their victim with some variation of Are you a snitch or Go ahead be a snitch and see how far it gets you An Extreme Doormat in particular may refuse to tell on othersIn some cases this trope is reinforced by a teacher parent or other authority figure whos tired of the kids tattling on each other for everything and anything but it can backfire The child may interpret it as not being able to talk to an adult about any problem for fear of being labeled a tattletale even one where an adult would be able to help The end result is usually the child taking matters into their own hands sometimes resulting in disasterIn works where the protagonist is a child this trope is frequently used to keep the plot moving along in situations where an adult would be both able and willing to solve the problem if they were told about it but from a narrative point of view the child should have to solve it themselves Can lead to Could Have Avoided This Plot if an adult tells a kid they shouldve talked to them from the very beginning Still The Stool Pigeon will not be very popular This will often lead to An Aesop theres a fine line between snitching on someone because you want to get them in trouble and telling an adult because someone has done something legitimately wrong or because theres an emergencyA darker version of the trope is when a person is shamed by everyone else for telling on someone even if they were justified in doing soThis trope also covers cases of actual tattletales that everyone hates If they go too far their actions may lead to more serious consequences than social such as a NoHoldsBarred Beatdown against the offenderSubtrope of Adults Are Useless Related to The Bully The Stool Pigeon and Poor Communication Kills A common problem faced by a gradeschool Kid Hero May cross over with Bad Liar if its obvious to an adult what kind of problem the child is facing even if they dont say it See also Rewarded as a Traitor Deserves which may be the much more serious and adult version,2791
Bowdlerise                    aka Bowdlerization,You know the overly blatant portrayal of sexual symbols on this statues underwear really goes against the grainIts my job to protect you the viewer from reality— Fox Censor a Fox network censor The SimpsonsThis page has been deemed Too Inappropriate by the Moral Guardians so they have set up a Family Friendly SubstituteTo BowdlerisePronunciation Bow as in port bow or cow minus c plus dler as in Schindlers List plus ise pronounced like eyes Alternatively those who know IPA ˈbaʊdləˌɹaɪz means to alter existing programs plays etc so they are less rude andor offensive Commonly this takes the form of swapping curse words for euphemisms The term is used in a negative sense by those who think the alterations are often done with a ridiculously high fear of lawsuits andor need for political correctness Sometimes its understandable — different countries have different standards and sometimes all it takes to change a show from something for teens to suitable for kids is the removal of a few swear words darn it Others are fairly reasonable for broadcast such as toning down violence since Children Are TenderHearted Such modifications are also understandable when the work is being adapted into a play that will be performed by kids not just watched by themBut true Bowdlerizing starts when you actually lower the quality of the art or story in some way in the editing sometimes as little as spoiling jokes or perhaps making villains not look quite as evil but escalating to damaging the plot making dialogue confusing and making heroes look pure and shiny And at its very best it can make a situation less acceptable In many cases such as the airing of R and NC17rated films on broadcast television or the release of sexual violent or edgy material in countries where such things are known to be forbidden the viewerlistenerreader is often left wondering why a release in such a venue was even attemptedCensorship starts at editing out blood splatter and profanity But it escalates pretty quickly Beer may become water even when its adults drinking — even villainous adults Cigarettes and cigars might be removed even though its a bad guy smoking A sixround revolver can become a water gun or slingshotnote Like what happened to the gun emoji Then they start warping entire characters to the entire show so that a character is Ambiguously Bi as if a good guy being gay might encourage kids to be gay — when ironically a good guy being bi might just encourage a kid to experiment Then when a situation presents itself where death should be a given its always avoided or explained away removing the idea of consequences stemming from dangerous activities A girl hits a boy because he got her dirty instead of because he might be groping her A scene of a parent hitting their child is completely removed making it look like they are running away over nothingIf they really cant remove a death they might try to remove emotional depth from it so somebody doesnt seem to grieve that much over their best friendlover dying — so now youre encouraged to stifle your emotions Other emotional conversations may be edited so characters seem to be friends rather than in love Vital discussions might be removed because they take place in a bar leaving plotholes And at its most extreme there may be the removal of entire episodes and you might never even get to see the final season of your show because its Darker and EdgierNamed after Thomas Bowdler 17541825 who first did it on The Bible and William Shakespeares plays for instance changing Ophelias drowning from suicide to accident Its worth noting that Bowdler himself created his Family Shakespeare versions as a way to introduce Shakespeares plays to audiences who would otherwise be barred from experiencing them at all and actively encouraged people to seek out the originals Sadly this cannot be said of most modern Bowdlerisers Before him the French Duke of Montausier published ad usum Delphini versions of works for the Dauphin heir apparent of France Ad usum Delphini is now a synonym of this tropeCultural Translation can often contain elements of Bowdlerization especially due to Values Dissonance See TWord Euphemism for a mild form of bowdlerization See also DubInduced Plotline Change which specifically refers to Bowdlerization in translated works and refers more to the final product than the process and Disneyfication which generally goes further in not only removing content but adding new kidfriendly content See Bluenose Bowdlerizer for when it happens here on the wikiThe inverse of this trope is American Kirby Is Hardcore Yet another related trope is Bleached Underpants where a creator selfcensors his work to appeal to a broader audience There is also a Censored Title for when a work seems to be Bowdlerized but only the title is for marketing purposes If the censoring is done InUniverse thats Narrative Profanity FilterSee also Culturally Sensitive Adaptation,4937
Cool Car,Only the best for the experienced ghost huntersIts the car right Chicks love the car— Batman Batman ForeverHeroes need to be able to get to where the action is And when they have to get from point A to point B no ordinary vehicle will do The heros ride has to be just as unique and awesome as the hero is Enter a Cool CarIt looks cool it goes fast it might be modified to go even faster its engine can be expected to make the Most Wonderful Sound it may even be bulletproof and contain an assortment of weapons and gadgets A really Cool Car can flyMost Cool Cars even ones that have no inherent super abilities will be curiously immune to breakdown physical damage or a realistic fuel range No matter what manner it is in which the hero drives as long as hes determined to stay on the straight and narrow and fight for the forces of good his car shows an Empathic Weapons ability to never get scratched dented or even dirty It may also be able to outperform similar or even superior vehicles simply by virtue of having the hero behind the wheel Driving one also seems to ensure youll have Rock Star Parking privileges If youre really lucky youll have a Cool Garage to park it inSometimes the car is cool enough that it actually can become a protagonist in the series — eg KITT in Knight Rider and the General Lee in The Dukes of Hazzard are arguably the main protagonists of their respective shows and are as iconic to the audience as the human stars A Car Song is where a Cool Car is the star of a song insteadWhen a car literally becomes a character see Sentient Vehicle For a living creature that serves as both a vehicle and a character see Sapient SteedA SuperTrope to PimpedOut Car Weaponized Car Heros Classic Car a classic car driven by The Hero A Theme Mobile is a Cool Car that ties into the characters motif in some way eg the BatmobileContrast The Alleged Car as well as Rice Burner — but compare What a Piece of Junk See Improbably Cool Car for cars that are just too cool for the setting or the characters and Metallicar Syndrome for eyecatching vehicles driven by people who would be better off picking something less conspicuousAs any car could be considered this in reality No Real Life Examples Please,2219
Little Miss Badass,Preteen Natalie Portman is about to shoot youTell them that Ellie is the little girl who broke your fucking finger— Ellie The Last of UsShe has skills that far exceed what youd expect from her appearance Maybe its because she is a bit strange mature for her age or doesnt look like her age at all Vaguely similar to a TykeBomb save she isnt necessarily groomed by a Big Bad and may well be a Big Bad in her own right or at least The Dragon Might be the fighting powerhouse on the good guys side and can be mistaken for just the Tagalong Kid until she unleashes the WaifFuThe character may be quite cute and is often smart enough to use that to her advantage quickly manipulating anyone stupid enough to fall for her act Her actual personality will usually be very clever and cynical though She may also be more innocent or goodnatured but no less charming so that she generally gets her way Often extends to what shes wearing if she cares at allIf put into serious danger she can often show an absurd amount of power and will easily deal with any annoying perverts in the most casually devastating way possible Often a practitioner of WaifFu and can be an example of Small Girl Big Gun or Girl with Psycho Weapon Can be a Cute Bruiser andor a PintSized Powerhouse but doesnt rely on brute strength If she doesnt have ridiculous strength she would be Weak but Skilled Most noticeable in characters who look very young since many characters tend to catch on to overpowered teenagers much quickerCompare Enfant Terrible May belong to a Badass Family May grow up to be a Lady of War although often with a touch of Femme Fatale If lacking in charisma she would be an Action Girl or possibly Dark Action GirlContrast Badass Adorable and Tyke Bomb the distinction being that the Little Miss Badass is never restricted by a guileless disposition and can occasionally be found reveling in her own badassery veiling her ruthlessness only when it suits herSee also Troubling Unchildlike Behavior which some of these characters engage in,2025
Obnoxious InLaws,The desert canteen is a mans lifeThe shoe is a mans eyeThe wife is a mans futureThe son is a mans refugeThe daughter is a mans salvationThe daughterinlaw is a mans devil— A Sumerian proverbA Happily Married couple faces various problems but none quite like the Sitcom InLaw A member of one spouses family often the wifes in modern Western media in more traditional and Eastern ones its the husbands relatives who are the terrors has an obvious animosity towards their relatives spouse They hate the person their daughtersistersonbrother is married to and arent shy about reaffirming it While the object of this hate always tries to be nice to them often at the insistence of their partnerspouse the inlaws pull out all the stops to ridicule abuse and undermine their target and even try to set up their relative with somebody else in spite of them being married as well as the fact that their spouse is still alive which they are occasionally okay with fixing There are a few reasons why something like this happens Most of the time they just hate the poor guy or girl in some cases for no reason other than not being a millionaire or something like that Another common reason is that the spouse is considered to be a step down from a previous relationship — if thats the case and the ex is still around the person may be convinced to give their ex another chance Occasionally the hate stems from a past incident For bonus jerk points it might be relatively minor andor something that the heroheroine has long since made up forPeer pressure from the friends and relatives of the inlaws who may despise one partner for some flaw real or perceivedCulture clash Different cultures can have wildly different ideas about gender roles and what a good marriage looks like This can be particularly difficult because such differences are often part of the reason that the couple like each other in the first place in particular differences in ideas about who should get what kind of educationUnfortunately still rather commonly faced by LGBTQ couples even in otherwise very tolerant societies There are many people who are tolerant of something until their child gets involved in itGenerational and cultural differences concerning how to raise children This can lead to one or more inlaws usually the grooms mother being very nice when the couple got married and then turning on the bride seemingly out of nowhere Unjustified accusations of child abuse can be very difficult to deal with and can even land couples in legal trouble Or it could just be some people are just jerksThis is a trope that has shifted in the last few centuries When coresidence with the husbands parents was the practice the motherinlaw might play the tyrant as the alpha female of the household But if the marriage was arranged between the parents of the couple at least grudging acceptance of the spouse would be necessary to maintain family relations On the other hand in the modern day in western cultures choosing your own spouse is the norm and may even run counter to parental wishes But it is much easier to move far away and never see them againAs the page quote indicates this can be Truth in Television for reasons both good and silly However the trope is far more common in fiction than it is in reality This is probably because although most of us end up with perfectly nice inlaws everyone is justifiably scared that their inlaws will be this tropeSuch inlaws can also be a Bitch in Sheeps Clothing or Devil in Plain Sight if their relative is oblivious to their jerkishness or insists that they arent so bad Sometimes overlaps with CoattailRiding Relative See also Evil Matriarch LoveObstructing Parents and Meet the InLaws,3704
Shown Their Work,A writer cannot do too much researchthough sometimes it is a mistake to try and cram too much of what you learned into your novel Research gives you a foundation to build on but in the end its only the story that matters— George R R MartinAlthough many talents in fictional media show they didnt do their research some actually did In fact sometimes they learned so much and worked so hard to learn it that it would hardly seem fitting to just not show it off They may also very well have Cast the ExpertThe Shown Their Work trope comes in when the creators tweak their stories to show the viewerreader what they have learned The trick is to do it so this advances the story instead of stopping it cold When its done right in a wellmade work awards for its educational value can be just as nifty as the artistic awardsThis often happens in older harder SciFi books wherein the authors try to keep the science as consistent as possible with currentlyunderstood scientific theories Of course since Science Marches On this may date the book badlyMore often than not the stuff authors look into wont be things with which the average Joe is familiar If its something particularly unrealistic the audience might just write it off as typical fiction even though it actually is a thingWhen an author claims to have done the research but definitely hasnt thats Falsely Advertised Accuracy Any examples of that list are there here the claim is proven correctNote that this does not include explicitly educational productions since they obviously have to be both accurate and explanatory to be effectiveCompare Narrative Filigree which is also about going above and beyond in regards to production quality Lampshaded the Obscure Reference Surprisingly Realistic Outcome Write What You Know when a work showcases a lot of indepth information as a result of the creator having prior knowledge of the subject as opposed to needing to research it and any Artistic LicenseNote that this is only as good as the writer makes it Just because you did the research doesnt mean it adds to the story especially if the research is shoehorned in just to show off Likewise sometimes its better just to make things up Remember that one of the reasons why the Sci Fi Ghetto existed in the first place was because authors of old and some even now overused this trope creating walls of Info Dump instead of stories If people wanted to have a lecture in science they would grab scientific essays in the first placeAlso keep in mind that referencing things doesnt by default make a work smarter than one that doesntTry to keep this page from becoming Gushing About Shows You LikeTheres a LiveJournal community for authors conducting such research on nontrivial topicsIf the work is simply using real locations as backgrounds consider using RealPlace Background If the work contains both real backgrounds and other research then by all means include it here as well If the work relies on the help of someone with knowledge about a certain element to correctly portray it see Technical Advisor,3059
Crossover,Magic Versus Science complete with Medium BlendingSherman How could I be talking to a fictional advertising characterMorgon Salt Girl Easy Were both fictional characters As such this conversation is a virtual construct in the imagination of the readerBeatSherman So did that answer my questionMorgon Salt Girl turns to leave Yes it did— Shermans LagoonThe classic crossover started itself off as a good way to make the best of what youve got — so if you have two shows on your roster its a nobrainer to have the shows and characters cross over every once in a while especially if one of the shows is less popular than its siblingThe popular way of doing this is the true crossover in which a storyline will begin in one series and cross over into the next one encouraging viewers to tune into a show that may be thematically similar but which they do not usually watchFor example Buffy the Vampire Slayer has a handful of episodes where the characters head off at the end only to turn up in Angel straight after This also works the other way with a magic amulet in Angel turning out to be vitally important for the lastever episode of Buffy This also highlights one of the dangers of crossovers if you or a fan watched only Buffy the Vampire Slayer but not Angel this particular amulet appeared to come totally out of nowhere to save the day See Red Skies CrossoverSometimes this is done to provide the leadin for a spinoff show as happened with both of the CSI spinoffs,1470
The Casanova, Big gun loaded and ready to fire multiple timesGentlemen Im sure we can sort this out amicably Look at it this way if you could do what I could do youd do it too But you cant I can And I have And Ill do it again So you should be happy for me just a little tiny bit dont you think— Casanova CasanovaThe ladykiller the player the rake — a man who relentlessly pursues lands loves and then abandons members of the opposite sex a skill bestowed upon him to demonstrate just how attractive he is Sometimes comic sometimes sinister always successful this character leaves behind a string of broken hearts and occasional vows of revenge that are rarely fulfilled Casanovas only motivation is indulging his lust and desire sating them with the bodies of his completely willing conquestsContrast with the unsuccessful Casanova Wannabe Compare with the inexplicable Kavorka Man A guy who gets the girls like a Casanova albeit unintentionally is a Chick Magnet If kindhearted may overlap with Chivalrous Pervert The Charmer is equally charming but less sexobsessed If they really get around but want to settle down its Looking for Love in All the Wrong Places A Handsome Lech has more negative connotations and a sparser scorecard than the CasanovaThe trope is named for Giacomo Casanova 17251798 an Italian soldier spy diplomat adventurer and librarian whose extensive but unreliable autobiography in which he almost literally described himself as Gods Gift to Womennote Feeling that I was born for the sex opposite of mine I have always loved it and done all that I could to make myself loved by it established his eternal fame as a lover It should be noted that the historical Casanova was closer to a Chivalrous Pervert who really was looking for love just with women who were locked in loveless political marriages — and also achieved his successes despite being famously ugly Definitely◊ he was no Heath Ledger◊ Interestingly he was one of the few 18thcentury men who bathed almost daily and asked the same thing from his partners this may have aided him in his sex appeal if most other guys stank to high heavenFor the juvenile version — all of the above without the sex — see KidAnova Contrast the Serial Romeo who falls in love with a long succession of women one at a time and for reasonable periods If the guy is actually only rumored to be a Casanova and has no evidence onscreen its the Urban Legend Love Life If he develops feelings for one of his conquests or someone who refuses him hes a Ladykiller in Love If that love transforms him into a committed and responsible partner and father then hes become a Reformed Rake See More Friends More Benefits for when the mechanics of a game encourage the player character to act this way If hes malicious he may be an Intentional HeartbreakerNote It should be mentioned that even after the affairs were over most of Casanovas exlovers still liked him and he was reputedly quite the gentleman This trope would probably fit the fictional Don Juan betterFinally a warning Despite Maneater being a redirect this trope should NOT be confused with Im a Humanitarian or the Literal ManeaterSuperTrope to Spies Are Lecherous and Really Gets Around See Horny Bard for the fantasy more musically inclined equivalent,3254
Sickeningly Sweet,Butterfly kisses I cant take it Its too cute Its Its disgusting— Plankton SpongeBob SquarePants Walking SmallSometimes something or someone cute and cuddly appears in a work Some characters react to such things with anything ranging from cutesy cuddling to violent revulsion to the point of vomiting because they cant stand the sight of anything so saccharine If those characters have enough of an aversion to such things it may be a Berserk Button of theirsThese characters may avoid things that are fun colorful or hammy and they may have an aversion to other characters belief in The Power of Friendship or an abundance of smiling and happiness on others part perhaps to the point that they never smile themselves,716
